tamanho_vetor,tipo_dados,algoritmo,tempo_execucao
1000,ORDEM_CRESC,MERGE_SORT,0:00:00.000883
1000,ORDEM_CRESC,QUICK_SORT,0:00:00.015727
10000,ORDEM_CRESC,BUBBLE_SORT,0:00:03.284569
10000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000355
10000,ORDEM_CRESC,SELECAO,0:00:01.198084
10000,ORDEM_CRESC,INSERCAO,0:00:00.000510
10000,ORDEM_CRESC,MERGE_SORT,0:00:00.009918
10000,ORDEM_CRESC,QUICK_SORT,0:00:01.573931
100000,ORDEM_CRESC,BUBBLE_SORT,0:05:37.199053
100000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.003551
100000,ORDEM_CRESC,SELECAO,0:02:08.020677
100000,ORDEM_CRESC,INSERCAO,0:00:00.004930
100000,ORDEM_CRESC,MERGE_SORT,0:00:00.120321
100000,ORDEM_CRESC,QUICK_SORT,0:02:37.942135
1000,ORDEM_DECRESC,BUBBLE_SORT,0:00:00.045019
1000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.031566
1000,ORDEM_DECRESC,SELECAO,0:00:00.010350
1000,ORDEM_DECRESC,INSERCAO,0:00:00.025223
1000,ORDEM_DECRESC,MERGE_SORT,0:00:00.000776
1000,ORDEM_DECRESC,QUICK_SORT,0:00:00.015266
10000,ORDEM_DECRESC,BUBBLE_SORT,0:00:04.963317
10000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:03.508656
10000,ORDEM_DECRESC,SELECAO,0:00:01.127268
10000,ORDEM_DECRESC,INSERCAO,0:00:02.909111
10000,ORDEM_DECRESC,MERGE_SORT,0:00:00.010102
10000,ORDEM_DECRESC,QUICK_SORT,0:00:01.564000
100000,ORDEM_DECRESC,BUBBLE_SORT,0:08:23.821683
100000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:05:50.888215
100000,ORDEM_DECRESC,SELECAO,0:02:04.464753
100000,ORDEM_DECRESC,INSERCAO,0:05:01.048083
100000,ORDEM_DECRESC,MERGE_SORT,0:00:00.124303
100000,ORDEM_DECRESC,QUICK_SORT,0:02:39.036843
1000,ORDEM_CRESC,BUBBLE_SORT,0:00:00.029709
1000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000063
1000,ORDEM_CRESC,SELECAO,0:00:00.011200
1000,ORDEM_CRESC,INSERCAO,0:00:00.000070
1000,ORDEM_CRESC,MERGE_SORT,0:00:00.000789
1000,ORDEM_CRESC,QUICK_SORT,0:00:00.016283
10000,ORDEM_CRESC,BUBBLE_SORT,0:00:03.247779
10000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000356
10000,ORDEM_CRESC,SELECAO,0:00:01.216942
10000,ORDEM_CRESC,INSERCAO,0:00:00.000631
10000,ORDEM_CRESC,MERGE_SORT,0:00:00.010325
10000,ORDEM_CRESC,QUICK_SORT,0:00:01.602952
100000,ORDEM_CRESC,BUBBLE_SORT,0:05:32.333310
100000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.003385
100000,ORDEM_CRESC,SELECAO,0:02:07.331481
100000,ORDEM_CRESC,INSERCAO,0:00:00.005125
100000,ORDEM_CRESC,MERGE_SORT,0:00:00.120966
100000,ORDEM_CRESC,QUICK_SORT,0:02:39.576307
1000,ORDEM_DECRESC,BUBBLE_SORT,0:00:00.053502
1000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.031074
1000,ORDEM_DECRESC,SELECAO,0:00:00.010451
1000,ORDEM_DECRESC,INSERCAO,0:00:00.027076
1000,ORDEM_DECRESC,MERGE_SORT,0:00:00.000808
1000,ORDEM_DECRESC,QUICK_SORT,0:00:00.014907
10000,ORDEM_DECRESC,BUBBLE_SORT,0:00:04.882050
10000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:03.436282
10000,ORDEM_DECRESC,SELECAO,0:00:01.131063
10000,ORDEM_DECRESC,INSERCAO,0:00:02.961659
10000,ORDEM_DECRESC,MERGE_SORT,0:00:00.009953
10000,ORDEM_DECRESC,QUICK_SORT,0:00:01.580937
100000,ORDEM_DECRESC,BUBBLE_SORT,0:08:28.421899
100000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:05:57.032832
100000,ORDEM_DECRESC,SELECAO,0:01:58.152254
100000,ORDEM_DECRESC,INSERCAO,0:04:54.866354
100000,ORDEM_DECRESC,MERGE_SORT,0:00:00.123060
100000,ORDEM_DECRESC,QUICK_SORT,0:02:41.375379
1000,ORDEM_CRESC,BUBBLE_SORT,0:00:00.029007
1000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000147
1000,ORDEM_CRESC,SELECAO,0:00:00.010710
1000,ORDEM_CRESC,INSERCAO,0:00:00.000072
1000,ORDEM_CRESC,MERGE_SORT,0:00:00.000772
1000,ORDEM_CRESC,QUICK_SORT,0:00:00.015794
10000,ORDEM_CRESC,BUBBLE_SORT,0:00:03.234749
10000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000357
10000,ORDEM_CRESC,SELECAO,0:00:01.223290
10000,ORDEM_CRESC,INSERCAO,0:00:00.000550
10000,ORDEM_CRESC,MERGE_SORT,0:00:00.009948
10000,ORDEM_CRESC,QUICK_SORT,0:00:01.588721
100000,ORDEM_CRESC,BUBBLE_SORT,0:05:41.839388
100000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.003647
100000,ORDEM_CRESC,SELECAO,0:02:06.545089
100000,ORDEM_CRESC,INSERCAO,0:00:00.005545
100000,ORDEM_CRESC,MERGE_SORT,0:00:00.121102
100000,ORDEM_CRESC,QUICK_SORT,0:02:38.467750
1000,ORDEM_DECRESC,BUBBLE_SORT,0:00:00.047090
1000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.032495
1000,ORDEM_DECRESC,SELECAO,0:00:00.011241
1000,ORDEM_DECRESC,INSERCAO,0:00:00.026840
1000,ORDEM_DECRESC,MERGE_SORT,0:00:00.000859
1000,ORDEM_DECRESC,QUICK_SORT,0:00:00.016000
10000,ORDEM_DECRESC,BUBBLE_SORT,0:00:05.021473
10000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:03.474891
10000,ORDEM_DECRESC,SELECAO,0:00:01.134505
10000,ORDEM_DECRESC,INSERCAO,0:00:02.884214
10000,ORDEM_DECRESC,MERGE_SORT,0:00:00.010094
10000,ORDEM_DECRESC,QUICK_SORT,0:00:01.577443
100000,ORDEM_DECRESC,BUBBLE_SORT,0:08:29.799714
100000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:05:51.627567
100000,ORDEM_DECRESC,SELECAO,0:02:04.952166
100000,ORDEM_DECRESC,INSERCAO,0:04:57.632481
100000,ORDEM_DECRESC,MERGE_SORT,0:00:00.124343
100000,ORDEM_DECRESC,QUICK_SORT,0:02:35.804293
1000,ORDEM_CRESC,BUBBLE_SORT,0:00:00.027589
1000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000053
1000,ORDEM_CRESC,SELECAO,0:00:00.010679
1000,ORDEM_CRESC,INSERCAO,0:00:00.000063
1000,ORDEM_CRESC,MERGE_SORT,0:00:00.000729
1000,ORDEM_CRESC,QUICK_SORT,0:00:00.014280
10000,ORDEM_CRESC,BUBBLE_SORT,0:00:02.862562
10000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.000346
10000,ORDEM_CRESC,SELECAO,0:00:01.122759
10000,ORDEM_CRESC,INSERCAO,0:00:00.000490
10000,ORDEM_CRESC,MERGE_SORT,0:00:00.009501
10000,ORDEM_CRESC,QUICK_SORT,0:00:01.451713
100000,ORDEM_CRESC,BUBBLE_SORT,0:04:50.269899
100000,ORDEM_CRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.003049
100000,ORDEM_CRESC,SELECAO,0:01:54.724357
100000,ORDEM_CRESC,INSERCAO,0:00:00.004775
100000,ORDEM_CRESC,MERGE_SORT,0:00:00.117168
100000,ORDEM_CRESC,QUICK_SORT,0:02:18.546322
1000,ORDEM_DECRESC,BUBBLE_SORT,0:00:00.043207
1000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:00.029392
1000,ORDEM_DECRESC,SELECAO,0:00:00.009795
1000,ORDEM_DECRESC,INSERCAO,0:00:00.024450
1000,ORDEM_DECRESC,MERGE_SORT,0:00:00.000781
1000,ORDEM_DECRESC,QUICK_SORT,0:00:00.014345
10000,ORDEM_DECRESC,BUBBLE_SORT,0:00:04.597086
10000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:00:03.064879
10000,ORDEM_DECRESC,SELECAO,0:00:01.081211
10000,ORDEM_DECRESC,INSERCAO,0:00:02.736131
10000,ORDEM_DECRESC,MERGE_SORT,0:00:00.009386
10000,ORDEM_DECRESC,QUICK_SORT,0:00:01.395751
100000,ORDEM_DECRESC,BUBBLE_SORT,0:07:46.352574
100000,ORDEM_DECRESC,BUBBLE_SORT_OTIMIZADO,0:05:53.762715
100000,ORDEM_DECRESC,SELECAO,0:01:46.803464
100000,ORDEM_DECRESC,INSERCAO,0:04:34.883598
100000,ORDEM_DECRESC,MERGE_SORT,0:00:00.127838
100000,ORDEM_DECRESC,QUICK_SORT,0:02:17.469758
1000,ALEATORIOS,BUBBLE_SORT,0:00:00.052525
1000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:00.031474
1000,ALEATORIOS,SELECAO,0:00:00.012049
1000,ALEATORIOS,INSERCAO,0:00:00.014584
1000,ALEATORIOS,MERGE_SORT,0:00:00.001169
1000,ALEATORIOS,QUICK_SORT,0:00:00.000731
10000,ALEATORIOS,BUBBLE_SORT,0:00:04.168864
10000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:00:02.617963
10000,ALEATORIOS,SELECAO,0:00:01.032831
10000,ALEATORIOS,INSERCAO,0:00:01.395702
10000,ALEATORIOS,MERGE_SORT,0:00:00.012049
10000,ALEATORIOS,QUICK_SORT,0:00:00.008172
100000,ALEATORIOS,BUBBLE_SORT,0:07:22.871707
100000,ALEATORIOS,BUBBLE_SORT_OTIMIZADO,0:04:25.825359
100000,ALEATORIOS,SELECAO,0:01:46.386517
100000,ALEATORIOS,INSERCAO,0:02:20.171420
